item_id,order_id,product_id,quantity,unit_price,total_price
1,1,145,2,17356.81,34713.62
2,1,78,5,22967.28,114836.4
3,1,377,5,35820.99,179104.95
4,1,488,3,29898.23,89694.69
5,2,66,5,3969.06,19845.3
6,2,64,2,3253.14,6506.28
7,3,268,3,45621.53,136864.59
8,3,477,1,1763.68,1763.68
9,4,116,2,48602.47,97204.94
10,4,467,2,42487.85,84975.7
11,5,48,1,25989.11,25989.11
12,5,275,1,20124.21,20124.21
13,6,59,2,24256.75,48513.5
14,6,42,1,16946.48,16946.48
15,7,374,2,46572.15,93144.3
16,7,453,5,13690.98,68454.9
17,7,488,5,4211.04,21055.2
18,7,362,4,37117.94,148471.76
19,8,111,4,36711.0,146844.0
20,9,11,5,6957.31,34786.55
21,9,484,5,33051.63,165258.15
22,10,199,2,34916.98,69833.96
23,10,69,1,1587.46,1587.46
24,10,132,2,33953.08,67906.16
25,11,222,3,37369.35,112108.05
26,12,257,2,2526.6,5053.2
27,12,417,1,24993.0,24993.0
28,13,406,5,43422.94,217114.7
29,13,282,3,11531.68,34595.04
30,14,184,4,40896.02,163584.08
31,15,189,3,37258.31,111774.93
32,15,224,2,43305.07,86610.14
33,15,55,1,31534.77,31534.77
34,16,231,3,929.95,2789.85
35,16,447,4,28978.06,115912.24
36,17,496,2,42472.5,84945.0
37,18,276,2,37530.01,75060.02
38,18,225,5,49787.95,248939.75
39,18,331,1,46921.42,46921.42
40,19,214,2,47683.48,95366.96
41,20,454,4,22854.7,91418.8
42,21,83,3,6414.35,19243.05
43,21,387,3,17286.14,51858.42
44,22,221,3,20892.39,62677.17
45,22,99,5,16389.83,81949.15
46,22,328,4,14776.52,59106.08
47,22,179,1,8831.41,8831.41
48,23,352,4,11757.19,47028.76
49,24,89,1,49619.46,49619.46
50,24,261,1,39052.3,39052.3
51,25,500,5,32619.71,163098.55
52,25,424,5,25941.09,129705.45
53,26,29,4,18200.31,72801.24
54,27,120,2,9138.11,18276.22
55,28,98,5,22407.25,112036.25
56,28,173,3,30427.92,91283.76
57,28,382,4,6662.42,26649.68
58,29,45,5,26116.58,130582.9
59,29,337,1,31224.73,31224.73
60,30,407,5,43306.61,216533.05
61,30,334,3,45781.38,137344.14
62,30,75,2,44993.28,89986.56
63,30,249,1,20149.12,20149.12
64,31,163,2,14652.0,29304.0
65,32,314,2,23691.21,47382.42
66,32,421,4,15086.34,60345.36
67,33,287,2,41444.69,82889.38
68,33,72,5,8051.5,40257.5
69,33,277,1,45337.69,45337.69
70,33,125,4,9450.52,37802.08
71,34,66,2,9711.51,19423.02
72,35,132,1,17486.6,17486.6
73,35,43,5,17739.29,88696.45
74,35,176,4,2430.04,9720.16
75,36,328,2,22177.02,44354.04
76,37,402,1,29606.53,29606.53
77,38,495,2,37983.65,75967.3
78,38,20,4,42008.12,168032.48
79,39,279,2,47744.26,95488.52
80,39,73,5,46214.96,231074.8
81,40,117,3,40011.74,120035.22
82,40,55,2,15504.74,31009.48
83,40,243,5,49840.59,249202.95
84,40,354,2,44198.18,88396.36
85,41,261,1,40481.31,40481.31
86,41,97,2,25766.7,51533.4
87,42,170,2,46554.86,93109.72
88,42,421,3,49518.93,148556.79
89,42,487,2,37844.41,75688.82
90,42,429,4,35578.46,142313.84
91,43,335,3,5373.43,16120.29
92,43,13,5,16952.49,84762.45
93,44,490,2,22960.16,45920.32
94,45,102,3,34119.98,102359.94
95,46,33,1,36894.03,36894.03
96,46,473,1,43312.33,43312.33
97,47,176,1,9860.53,9860.53
98,47,445,5,47390.51,236952.55
99,48,281,2,13305.14,26610.28
100,49,299,4,49635.39,198541.56
101,49,12,4,9477.98,37911.92
102,50,73,5,24216.98,121084.9
103,50,438,4,29229.64,116918.56
104,51,349,4,23409.25,93637.0
105,51,234,3,2508.94,7526.82
106,51,291,5,29569.21,147846.05
107,52,168,1,5301.04,5301.04
108,53,401,4,4147.86,16591.44
109,54,169,4,48774.91,195099.64
110,55,499,5,22309.7,111548.5
111,55,355,2,9286.04,18572.08
112,56,201,4,7313.69,29254.76
113,56,24,5,35250.42,176252.1
114,56,201,2,44367.4,88734.8
115,56,486,2,27246.79,54493.58
116,57,455,3,33895.82,101687.46
