order_id,customer_id,order_date,total_amount,status
1,624,2026-01-24,62833.49,Processing
2,642,2026-04-28,3036.68,Delivered
3,571,2025-12-16,88390.1,Pending
4,486,2026-05-19,31645.9,Processing
5,375,2025-09-11,61199.48,Cancelled
6,190,2025-08-03,47033.06,Pending
7,408,2026-05-06,9377.7,Shipped
8,292,2025-11-15,1644.42,Shipped
9,924,2026-05-06,76293.07,Cancelled
10,235,2026-03-03,85297.0,Processing
11,112,2026-05-28,57492.13,Cancelled
12,702,2025-07-19,82984.31,Pending
13,259,2026-05-31,75163.04,Processing
14,278,2026-06-10,65314.37,Delivered
15,135,2026-03-10,60247.26,Delivered
16,715,2026-05-23,67679.48,Delivered
17,778,2026-07-03,79359.93,Processing
18,755,2025-12-29,46748.34,Cancelled
19,27,2025-11-18,29919.14,Processing
20,820,2026-05-01,39590.42,Shipped
21,495,2025-11-16,77492.02,Processing
22,8,2025-07-24,73344.67,Pending
23,877,2026-01-08,88397.6,Cancelled
24,951,2026-03-09,3585.52,Pending
25,655,2026-01-15,31646.33,Shipped
26,732,2026-01-23,53885.06,Processing
27,678,2025-08-12,45854.96,Pending
28,903,2026-01-19,37319.77,Shipped
29,42,2025-12-20,31350.64,Cancelled
30,485,2025-12-17,63853.8,Shipped
31,519,2025-12-06,24135.99,Shipped
32,971,2025-12-18,46900.51,Pending
33,949,2026-06-11,1849.18,Cancelled
34,650,2026-05-14,34294.99,Pending
35,728,2025-09-26,96391.74,Delivered
36,408,2026-06-15,67499.72,Pending
37,786,2026-01-24,35131.58,Shipped
38,176,2025-08-16,40416.81,Cancelled
39,745,2026-05-24,99140.97,Cancelled
40,908,2025-11-22,78581.99,Delivered
41,835,2025-08-03,68452.28,Delivered
42,809,2026-04-11,40595.77,Processing
43,658,2025-11-21,40422.27,Delivered
44,250,2026-02-10,29658.91,Pending
45,596,2026-03-08,26157.07,Cancelled
46,572,2026-07-03,76763.19,Delivered
47,167,2026-01-30,51672.53,Pending
48,992,2025-11-07,72145.34,Shipped
49,670,2025-12-20,62432.74,Pending
50,566,2026-03-10,15349.47,Cancelled
51,359,2026-05-02,70610.72,Delivered
52,810,2026-01-18,43983.27,Delivered
53,603,2026-02-08,75889.1,Pending
54,828,2026-04-28,59531.33,Processing
55,229,2026-03-26,2159.49,Pending
56,917,2025-08-23,9462.5,Processing
57,577,2025-10-24,65872.22,Processing
58,436,2025-08-09,5915.41,Shipped
59,280,2026-02-13,20687.16,Delivered
60,393,2026-05-04,4759.29,Pending
61,51,2025-07-13,39424.96,Pending
62,521,2025-11-16,36326.5,Processing
63,538,2026-04-08,72151.05,Delivered
64,574,2026-05-25,83466.62,Delivered
65,374,2026-01-27,72781.93,Pending
66,421,2026-06-29,36622.22,Pending
67,708,2025-10-02,57478.93,Shipped
68,293,2026-04-18,4267.51,Shipped
69,766,2026-05-28,71195.8,Pending
70,446,2026-02-13,85075.8,Delivered
71,425,2026-04-04,76112.21,Processing
72,288,2025-10-27,58265.01,Processing
73,353,2025-12-02,15401.99,Cancelled
74,735,2026-03-10,88523.36,Cancelled
75,697,2025-08-22,84655.1,Delivered
76,747,2026-02-19,40348.19,Delivered
77,172,2026-01-03,64038.05,Pending
78,115,2026-04-28,26691.07,Processing
79,10,2026-02-06,93441.64,Pending
80,193,2026-03-25,5906.95,Processing
81,405,2025-12-11,15273.19,Cancelled
82,863,2025-10-23,41940.22,Shipped
83,392,2026-01-21,99555.49,Shipped
84,298,2025-12-22,8719.17,Processing
85,466,2025-08-08,46996.34,Shipped
86,759,2026-03-03,93304.72,Shipped
87,505,2025-11-18,59653.01,Delivered
88,694,2026-04-24,27346.31,Shipped
89,736,2025-12-26,67403.6,Cancelled
90,118,2026-04-28,22213.3,Cancelled
91,866,2025-07-17,44387.85,Cancelled
92,157,2026-03-13,25638.26,Cancelled
93,929,2025-07-16,13003.68,Cancelled
94,231,2025-08-29,5888.84,Delivered
95,187,2026-04-08,37063.83,Shipped
96,691,2026-01-13,26569.04,Cancelled
97,411,2026-03-28,81857.63,Delivered
98,600,2026-05-19,86114.48,Delivered
99,274,2025-11-18,39656.81,Cancelled
100,724,2026-04-08,74182.73,Processing
101,634,2026-02-06,11757.48,Pending
102,61,2025-09-23,30135.19,Pending
103,212,2026-07-08,7062.96,Pending
104,27,2026-01-04,43481.49,Pending
105,167,2026-04-24,24632.05,Processing
106,313,2026-02-06,54539.42,Processing
107,249,2026-03-17,52947.12,Shipped
108,609,2026-05-04,16447.91,Processing
109,490,2025-07-19,67156.67,Cancelled
110,361,2026-05-11,79915.1,Shipped
111,69,2025-10-24,50549.75,Shipped
112,410,2025-10-29,55259.9,Delivered
113,437,2025-11-21,58209.73,Shipped
114,205,2026-06-23,28619.75,Delivered
115,912,2026-04-04,5780.27,Processing
116,319,2026-02-28,84720.67,Pending
117,779,2026-06-19,48491.35,Cancelled
118,74,2026-02-23,39664.44,Shipped
119,913,2026-06-19,8409.65,Pending
120,218,2025-11-09,91748.2,Delivered
121,726,2025-09-20,96929.26,Cancelled
122,736,2026-01-29,58879.0,Processing
123,427,2025-11-15,53570.75,Shipped
124,299,2026-02-02,71549.29,Cancelled
125,372,2025-10-16,96612.92,Cancelled
126,225,2026-05-29,11938.73,Cancelled
127,143,2025-11-08,19320.12,Delivered
128,151,2025-09-25,87319.71,Delivered
129,151,2026-06-30,5011.91,Delivered
130,269,2025-10-22,38226.25,Delivered
131,151,2025-11-14,54564.59,Processing
132,315,2025-07-20,34595.79,Processing
133,28,2025-08-22,51849.46,Processing
134,763,2025-11-13,16384.45,Shipped
135,783,2026-05-02,78292.1,Pending
136,886,2026-07-05,21827.12,Pending
137,405,2025-09-16,27505.31,Cancelled
138,872,2026-05-07,32379.41,Delivered
139,293,2025-09-09,32473.15,Cancelled
140,168,2026-01-22,65225.67,Delivered
141,954,2025-07-23,81671.19,Processing
142,830,2025-10-04,98887.64,Delivered
143,597,2026-03-29,30155.97,Shipped
144,920,2026-04-28,46257.96,Pending
145,96,2025-09-28,94412.13,Delivered
146,318,2026-06-16,31047.04,Cancelled
147,842,2026-03-18,9056.07,Delivered
148,657,2025-10-27,54385.73,Cancelled
149,243,2026-01-21,63342.49,Shipped
150,869,2026-03-02,70768.24,Pending
